german_idiom	translation	letters_only	length
Seine Figur halten	Keep one’s figure	seinefigurhalten	16
Ich werde nichts dergleichen tun	I will do nothing of the kind	ichwerdenichtsdergleichentun	28
Das muss genügen	That will have to do	dasmussgenügen	14
Wer wagt, gewinnt.	Who dares, wins.	werwagtgewinnt	14
Jmdm. die Tür vor der Nase zuknallen	Slam the door in s.o.’s face	jmdmdietürvordernasezuknallen	29
Genau gesagt	Be precise	genaugesagt	11
Eins muss ich dir lassen	I have to / must say one thing for you	einsmussichdirlassen	20
Ein Gedächtnis wie ein Sieb	A memory like a sieve	eingedächtniswieeinsieb	23
Es ist nicht so schlimm wie es aussieht	It’s not as bad as it looks	esistnichtsoschlimmwieesaussieht	32
Im Bereich des Möglichen sein	Be within the bounds of possibility	imbereichdesmöglichensein	25
Ich komme zurecht	I get by	ichkommezurecht	15
Den Hund ausführen	Walk the dog	denhundausführen	16
Straßenköter	Mongrel from the gutter	straßenköter	12
Bei Fuß!	Heel!	beifuß	6
Rufen Sie Ihren Hund zurück!	Call your dog off!	rufensieihrenhundzurück	23
Der Hund hat eine Spur aufgenommen	The dog picked up a scent	derhundhateinespuraufgenommen	29
Brrr! Nicht so schnell.	Whoa there! Not so fast.	brrrnichtsoschnell	18
Lass Gott aus dem Spiel	Don’t bring God into it	lassgottausdemspiel	19
Im Umgang mit Kindern eine feste Hand haben	Have a firm hand with children	imumgangmitkinderneinefestehandhaben	36
Was sollen wir von ... halten?	What are we to make of ...?	wassollenwirvonhalten	21
Die Henkersmahlzeit	The condemned man’s breakfast // the last meal of the condemned man	diehenkersmahlzeit	18
Sich selbst übertreffen	Surpass/outdo/excel o.s.	sichselbstübertreffen	21
Jmdn. veräppeln	Josh s.o.	jmdnveräppeln	13
K-n Finger rühren	Not to lift a finger	knfingerrühren	14
Hüte deine Zunge	Guard your tongue	hütedeinezunge	14
Wo ein Wille ist, ist auch ein Weg.	Where there’s a will, there’s a way.	woeinwilleististaucheinweg	26
Ich verdiene hier die Brötchen	I’m the breadwinner round here	ichverdienehierdiebrötchen	26
Ich habe es mir zur Regel gemacht ...	It make it a rule ...	ichhabeesmirzurregelgemacht	27
Auf taube Ohren stoßen	Fall on deaf ears	auftaubeohrenstoßen	19
Vom Unglück/Pech verfolgt sein	Be dogged by bad luck	vomunglückpechverfolgtsein	26
Durch reines/schieres Glück	Through sheer luck	durchreinesschieresglück	24
Sein Glück war von kurzer Dauer	His happiness was short-lived	seinglückwarvonkurzerdauer	26
Überraschungsmoment	Element of surprise	überraschungsmoment	19
Seinem Ruf gerecht werden	Live up to one’s reputation	seinemrufgerechtwerden	22
Entschuldigen Sie, dass ich frage	Pardon me for asking // excuse my asking	entschuldigensiedassichfrage	28
Glück im Spiel, Pech in der Liebe.	Lucky at cards, unlucky in love.	glückimspielpechinderliebe	26
Liebesnest	Love nest	liebesnest	10
Sich unsterblich verlieben	Fall everlastingly in love	sichunsterblichverlieben	24
Liebe auf den ersten Blick	Love at first sight	liebeaufdenerstenblick	22
Unglückliche Liebe	Unrequited love	unglücklicheliebe	17
Liebeskummer haben	Be love-sick	liebeskummerhaben	17
Schürzenjäger	Philanderer: a man who has sex with many women, without intending to have any serious relationships	schürzenjäger	13
Schäker	Philanderer: a man who has sex with many women, without intending to have any serious relationships	schäker	7
Den Frauen nachlaufen	Philander	denfrauennachlaufen	19
Schäkern	Philander	schäkern	8
Poussieren	Philander	poussieren	10
Schäkern	Gallivant	schäkern	8
Flirten	Gallivant	flirten	7
Sich herumtreiben	Gallivant	sichherumtreiben	16
Sich amüsieren	Gallivant	sichamüsieren	13
Das wäre ihm eine Lehre	That would teach him	daswäreihmeinelehre	19
Haben Sie kein Taktgefühl?	Have you no tact?	habensiekeintaktgefühl	22
Trödel nicht auf dem Weg	Don’t dilly-dally on the way	trödelnichtaufdemweg	20
Schwanken	Shilly-shally	schwanken	9
Zögern	Shilly-shally	zögern	6
Sich nicht entscheiden können	Shilly-shally	sichnichtentscheidenkönnen	26
Du bist ein Kriecher	You are a crawler	dubisteinkriecher	17
Seine Tage sind gezählt	His days are numbered	seinetagesindgezählt	20
Es führt kein Weg daran vorbei	There is no way around it	esführtkeinwegdaranvorbei	25
Wie ging’s denn? – Wie am Schnürrchen.	How did it go then? – Like clockwork.	wiegingsdennwieamschnürrchen	28
Wenn alles planmäßig verläuft	If all goes to plan	wennallesplanmäßigverläuft	26
Man tut, was man kann.	One does what one can.	mantutwasmankann	16
Man bemüht sich halt. Man tut halt sein Bestes.	One tries.	manbemühtsichhaltmantuthaltseinbestes	37
Er kann nicht verlieren	He cannot lose well // he is a hard loser	erkannnichtverlieren	20
Er ist ein schlechter Verlierer	He cannot lose well // he is a hard loser	eristeinschlechterverlierer	27
Das ist Neuland für mich	That is new territory for me	dasistneulandfürmich	20
Wie durch Zauberei	As if by magic	wiedurchzauberei	16
Überbleibsel	Left-over(s)	überbleibsel	12
Ein Relikt der Vergangenheit	A relic of the past	einreliktdervergangenheit	25
Das Kind mit dem Bade ausschütten	Throw out the baby with the bathwater	daskindmitdembadeausschütten	28
Wie angewurzelt stehen bleiben	Be rooted to the spot	wieangewurzeltstehenbleiben	27
Gerade (noch) rechtzeitig	In the nick of time	geradenochrechtzeitig	21
Ich habe heute keinen guten Tag	This is not my day today	ichhabeheutekeinengutentag	26
Wir haben alle mal einen schlechten Tag	We all have our off days	wirhabenallemaleinenschlechtentag	33
Sie können uns nicht das Wasser reichen	They cannot hold a candle to us	siekönnenunsnichtdaswasserreichen	33
Nichts sein gegen	Have nothing on	nichtsseingegen	15
Es würde nicht sehr gut ankommen	It would not go down very well	eswürdenichtsehrgutankommen	27
Bei jmdm. Anklang finden	Strike a sympathetic chord with s.o.	beijmdmanklangfinden	20
Sind das nicht voreilige Schlüsse?	Aren’t you jumping to conclusions?	sinddasnichtvoreiligeschlüsse	29
Mit etwas kurzen Proze machen	Give short shrift to s.th.	mitetwaskurzenprozemachen	25
Jmdn. auf Herz und nieren prüfen	Vet s.o.	jmdnaufherzundnierenprüfen	26
Er und seinesgleichen	He and his ilk	erundseinesgleichen	19
Für Menschen wie mich	For the likes of me	fürmenschenwiemich	18
Traurige Berühmtheit erlangen	Achieve notoriety	traurigeberühmtheiterlangen	27
Vorbeugen ist besser als Heilen.	Prevention is better than cure.	vorbeugenistbesseralsheilen	27
Vorsicht ist die Mutter der Weisheit/Porzellankiste.	Better (to be) safe than sorry.	vorsichtistdiemutterderweisheitporzellankiste	45
Ein Tropfen auf den heißen Stein	A drop in the ocean/bucket	eintropfenaufdenheißenstein	27
In die eigene Tasche greifen	Delve into one’s own pocket	indieeigenetaschegreifen	24
Da stimmt etwas nicht	There’s something amiss // something is wrong	dastimmtetwasnicht	18
Die Ursachen bleiben im Dunkeln	The causes remain murky	dieursachenbleibenimdunkeln	27
Phantasieprodukt	Figment of imagination	phantasieprodukt	16
Reine Einbildung	Figment of imagination	reineeinbildung	15
Einen Schatten werfen	Cast a shadow	einenschattenwerfen	19
Streitlustig	Spoiling for a fight	streitlustig	12
Sich absichern	Hedge one’s bets	sichabsichern	13
Wenn das Wetter mitspielt	Weather permitting	wenndaswettermitspielt	22
Wenn das Wetter es erlaubt	Weather permitting	wenndaswettereserlaubt	22
Der Inbegriff von	The epitome of	derinbegriffvon	15
... ist ein Synonym für ...	... is a byword for ...	isteinsynonymfür	16
Der Name ... ist ein Synonym für ...	The name ... is synonymous with ...	dernameisteinsynonymfür	23
Halsbrecherisch	Breakneck	halsbrecherisch	15
Im Sande verlaufen	Fizzle out // come to nothing	imsandeverlaufen	16
Wie das Hornberger Schießen ausgehen	Fizzle out // come to nothing	wiedashornbergerschießenausgehen	32
Wenn es dazu kommen sollte	If it were to come to pass	wennesdazukommensollte	22
Jmdn. in die Knie zwingen	Bring s.o. to his knees	jmdnindiekniezwingen	20
Jmdn. gefügig machen	Bring s.o. to heel	jmdngefügigmachen	17
Jmdn. zur Räson/Raison bringen	Bring s.o. to heel	jmdnzurräsonraisonbringen	25
Eigenlob stinkt!	Self-praise is no recommendation! // Don’t blow your own trumpet!	eigenlobstinkt	14
Sich auf die Schulter klopfen	Pad o.s. on the back	sichaufdieschulterklopfen	25
Mit einem Schlag	In a single stroke	miteinemschlag	14
Eine heilige Kuh	A sacred cow	eineheiligekuh	14
Ich hab’s wirklich eilig	I really must fly // I’m really in a hurry	ichhabswirklicheilig	20
Ich muss mich wirklich beeilen	I really must fly // I’m really in a hurry	ichmussmichwirklichbeeilen	26
Wir reden nicht miteinander	We are not speaking	wirredennichtmiteinander	24
Jmdn. verraten	Blow the whistle on s.o.	jmdnverraten	12
Die Hölle war los	There was pandemonium	diehöllewarlos	14
Eingeweiht sein	Be in the know	eingeweihtsein	14
Meine Brille beschlägt	My glasses are steaming up	meinebrillebeschlägt	20
"Etwas ""drehen""/""deichseln""/""schaukeln"""	Wangle s.th.	etwasdrehendeichselnschaukeln	29
Jmdm. etwas abluchsen	Wangle s.th. out of s.o.	jmdmetwasabluchsen	18
Jmdn. hereinlegen	Have s.o. on // trick s.o.	jmdnhereinlegen	15
Hinters Licht führen	Hoodwink	hinterslichtführen	18
Täuschen	Hoodwink	täuschen	8
Jmdn. herauswerfen	Turf/chuck/kick s.o. out slang	jmdnherauswerfen	16
Sein Gewissen erleichtern	Ease one’s conscience	seingewissenerleichtern	23
Sich etwas von der Seele reden	Make a clean breast of s.th.	sichetwasvonderseelereden	25
Die Zeit heilt alle Wunden.	Time heels all wounds.	diezeitheiltallewunden	22
Hass säen	Sow the seed of hatred	hasssäen	8
Wer Wind sät, wird Sturm ernten.	Sow the wind and reap the whirlwind.	werwindsätwirdsturmernten	25
Was ihr sät, das sollt ihr ernten.	As you sow so you shall reap.	wasihrsätdassolltihrernten	26
Es wird ihnen nicht gesagt, was sie erwartet	They are not told what is in store for them	eswirdihnennichtgesagtwassieerwartet	36
Einen Vorschlag vorlegen/vortragen	Propound a proposal	einenvorschlagvorlegenvortragen	31
Vorschläge vom Tisch fegen	Wipe proposals from the table	vorschlägevomtischfegen	23
Enge/weite Auslegung	Narrow/loose interpretation	engeweiteauslegung	18
Vor jmds. geistigen Auge	In s.o.’s mind’s eye	vorjmdsgeistigenauge	20
Das ist vergleichsweise einfach	That is easy by comparison	dasistvergleichsweiseeinfach	28
Streitpunkt	Point of contention	streitpunkt	11
Einer Sache Herr werden	Get on top of a problem	einersacheherrwerden	20
Mit allen Problemen fertigwerden	Lick all problems	mitallenproblemenfertigwerden	29
Etwas in den Griff bekommen	Come to grips with s.th.	etwasindengriffbekommen	23
Sich mit seinem Erbe auseinandersetzen	Come to grips with one’s heritage	sichmitseinemerbeauseinandersetzen	34
Das ist die Preisfrage	That’s the $ 64-000 question	dasistdiepreisfrage	19
Daseinsberechtigung	Raison d’Ltre	daseinsberechtigung	19
Es hat nicht viel Sinn, etwas zu tun	There isn’t much point in doing s.th.	eshatnichtvielsinnetwaszutun	28
Nicht jeder findet Geschmack an	Not everybody has a taste for	nichtjederfindetgeschmackan	27
Zu warm für meinen Geschmack	Too warm for my taste	zuwarmfürmeinengeschmack	24
Geschmacksache	Matter of taste	geschmacksache	14
Über Geschmack lässt sich nicht streiten.	Taste is a matter of taste.	übergeschmacklässtsichnichtstreiten	35
Einen guten Geschmack haben	Have good taste	einengutengeschmackhaben	24
Nur gut, dass ...	A good thing that ...	nurgutdass	10
Dem Fortschritt im Wege stehen	Stand in the way of progress	demfortschrittimwegestehen	26
So ungern ich es/das auch zugebe	Much as I hate to admit it	soungernichesdasauchzugebe	26
Bis auf weiteres	Until further notice	bisaufweiteres	14
Wunder Punkt	Sore point	wunderpunkt	11
Dein Wunsch ist mir Befehl	Your wish is my command	deinwunschistmirbefehl	22
Dein Wort ist mir Befehl	Your word is my command	deinwortistmirbefehl	20
Du hast die entscheidende Stimme	You have the casting vote	duhastdieentscheidendestimme	28
Sei (doch) nicht so.	Don’t be like that.	seidochnichtso	14
Das stellt alles auf den Kopf	This stands things on their head	dasstelltallesaufdenkopf	24
Wiederholung hat noch nie (jemandem) geschadet	Repetition never did anyone any harm	wiederholunghatnochniejemandemgeschadet	39
Abkratzen	Snuff it	abkratzen	9
Jmdm. etwas aufzwingen	Force s.th. on s.o.	jmdmetwasaufzwingen	19
Das ist Wucher/Nepp	That’s a rip-off	dasistwuchernepp	16
Hör auf zu jammern	Stop whining	höraufzujammern	15
Er wird Ärger machen	He is going to be trouble	erwirdärgermachen	17
Jmdn. bemuttern	Mother s.o.	jmdnbemuttern	13
Geteiltes Leid ist halbes Leid.	A trouble shared is a trouble halved.	geteiltesleidisthalbesleid	26
Das ist Ansichtssache	That’s a matter of opinion	dasistansichtssache	19
Brot und Spiele	Bread and circuses	brotundspiele	13
Macht der Gewohnheit.	Force of habit.	machtdergewohnheit	18
Die Stimme der Vernunft	The voice of reason	diestimmedervernunft	20
Eine Münze werfen	Flip/toss a coin	einemünzewerfen	15
Etwas an die große Glocke hängen	Shout s.th. from the rooftop	etwasandiegroßeglockehängen	27
Alte Schrulle/Schachtel	Old bag	alteschrulleschachtel	21
Jmdn. unter seine Fittiche nehmen	Take s.o. under one’s wing	jmdnunterseinefittichenehmen	28
Man nennt ihn nicht umsonst ...	They don’t call him ... for nothing	mannenntihnnichtumsonst	23
Danke für das Stichwort.	Thanks for the cue.	dankefürdasstichwort	20
Sich anregen lassen von	Take cues from	sichanregenlassenvon	20
Sich Anregungen holen von	Take cues from	sichanregungenholenvon	22
Ein zweischneidiges Schwert	A double-edged sword	einzweischneidigesschwert	25
Vor seiner Verantwortung kneifen	Shy away from one’s responsibility // shirk one’s responsibility	vorseinerverantwortungkneifen	29
Sich vor etwas nicht drücken	Make no bones about s.th.	sichvoretwasnichtdrücken	24
Sich etwas merken	Make a note of s.th.	sichetwasmerken	15
Sich etwas klarmachen	Realize s.th. // become aware of s.th.	sichetwasklarmachen	19
Sich über etwas klarwerden	Realize s.th. // become aware of s.th.	sichüberetwasklarwerden	23
Es mit jmdm. aufnehmen	Take s.o. on	esmitjmdmaufnehmen	18
Gegen einen Sportler antreten	Take on a sportsman	gegeneinensportlerantreten	26
Die Absicht / der Gedanke / es liegt mir fern	Nothing is further from my mind	dieabsichtdergedankeesliegtmirfern	34
Langsam aber sicher	Slowly but surely	langsamabersicher	17
In seinen kühnsten Träumen	In his wildest dreams	inseinenkühnstenträumen	23
Einen Alleingang versuchen	Try to go it alone	einenalleingangversuchen	24
Es allein schaffen	Go it alone	esalleinschaffen	16
Ich bin im Büro aufgehalten worden	I got tied up at the office	ichbinimbüroaufgehaltenworden	29
Tief/zutiefst erschüttert	Deeply/extremely shocked	tiefzutiefsterschüttert	23
Mit Trauer erfüllt	Saddened	mittrauererfüllt	16
Knausern mit	Skimp/scrimp on	knausernmit	11
Sparen bei	Skimp/scrimp on	sparenbei	9
Mit dem Gedanken spielen, etwas zu tun	Toy with the idea of doing s.th.	mitdemgedankenspielenetwaszutun	31
In unerreichbarer Ferne sein	Be beyond grasp	inunerreichbarerfernesein	25
Er ist eine Null	He is a nonentity	eristeinenull	13
Er ist ein unbedeutender Mensch	He is a nonentity	eristeinunbedeutendermensch	27
Dort bin ich jemand.	There I am a somebody.	dortbinichjemand	16
Wirrkopf	Scatterbrain	wirrkopf	8
Eine Schwäche für jmdn. haben	Have a weak spot for s.o.	eineschwächefürjmdnhaben	24
Jmds. schwacher Punkt	The chink in s.o.’s armour	jmdsschwacherpunkt	18
Der Teufel steckt im Detail	The devil is in the detail(s)	derteufelstecktimdetail	23
Das Pferd am/beim Schwanz aufzäumen	Put the cart before the horse	daspferdambeimschwanzaufzäumen	30
Ich sehe was, was du nicht siehst ...	I (can) spy with my little eye ...	ichsehewaswasdunichtsiehst	26
Mir wird langsam klar, dass ...	It slowly dawns on me that ...	mirwirdlangsamklardass	22
Es dämmert mir langsam, dass ...	It slowly dawns on me that ...	esdämmertmirlangsamdass	23
Es dämmert ihm langsam	It’s percolating through to him	esdämmertihmlangsam	19
Ein ruhiger Job	A cushy job	einruhigerjob	13
Für 20 Dollar bekommt man nichts	20 dollars doesn’t go anywhere	fürdollarbekommtmannichts	25
Das hilft uns nicht weiter	It won’t get us anywhere	dashilftunsnichtweiter	22
Wie durch ein Wunder gerettet	Miraculously saved	wiedurcheinwundergerettet	25
Einer Sache knapp entgehen/entkommen	Escape s.th. by the skin of one’s teeth	einersacheknappentgehenentkommen	32
Widerspruch in sich (selbst)	Contradiction in terms	widerspruchinsichselbst	23
Aus dem Kaffeesatz lesen	Read the coffee grounds	ausdemkaffeesatzlesen	21
In die Zukunft sehen	Gaze into the crystal ball	indiezukunftsehen	17
Sie ist wieder ganz die alte	She is back to her old self again	sieistwiederganzdiealte	23
Ich will damit nichts zu tun haben	I want no part of this	ichwilldamitnichtszutunhaben	28
Wer sagt/behauptet das?	Who says (so)?	wersagtbehauptetdas	19
Unbekümmert	Blithe	unbekümmert	11
Wie er so schön dargestellt/gesagt hat	As he blithely pointed out	wieersoschöndargestelltgesagthat	32
Dein Leben hängt an einem seidenen Faden	Your life is hanging by a thread	deinlebenhängtaneinemseidenenfaden	34
Nichts taugen	Not to be worth one’s salt	nichtstaugen	12
Keinen Schuss Pulver wert sein	Not to be worth one’s salt	keinenschusspulverwertsein	26
Wo gehobelt wird, (da) fallen Späne.	You can’t make an omelette without breaking eggs.	wogehobeltwirddafallenspäne	27
Es ist nicht doll	It’s no great shakes	esistnichtdoll	14
Es ist nicht weit her damit	It’s no great shakes	esistnichtweitherdamit	22
Beides ist nicht möglich	You can’t have it both ways	beidesistnichtmöglich	21
Man kann nicht beides haben	You can’t have it both ways	mankannnichtbeideshaben	23
Sein Versprechen zurücknehmen	Go back on one’s promise	seinversprechenzurücknehmen	27
Jmdm. die Zunge herausstrecken	Stick one’s tongue out on s.o.	jmdmdiezungeherausstrecken	26
Er muss immer im Mittelpunkt stehen	He always has to be the centre of attention	ermussimmerimmittelpunktstehen	30
Du musst immer im Mittelpunkt stehen, nicht wahr?	You always have to be the centre of attention, don’t you?	dumusstimmerimmittelpunktstehennichtwahr	40
Das Ende vom Lied war, dass ...	The upshot of it was that ...	dasendevomliedwardass	21
Als Bester abschneiden	Come out top	alsbesterabschneiden	20
Etwas zum Essen auftreiben	Rustle s.th. up for lunch/dinner	etwaszumessenauftreiben	23
Schnorren, nassauern	(be on the) scrounge // sponge	schnorrennassauern	18
Die Natur war uns nie wohlgesonnen	Nature never smiled on us	dienaturwarunsniewohlgesonnen	29
Wenn es hart auf hart kommt	When push comes to shove	wenneshartaufhartkommt	22
Schlimmstenfalls	If the worst comes to the worst	schlimmstenfalls	16
Eins kam zum anderen	One thing led to another	einskamzumanderen	17
Was gibt’s zum Nachttisch?	What’s for dessert/afters?	wasgibtszumnachttisch	21
Die Dinge schluren lassen	Let things slide	diedingeschlurenlassen	22
Ich habe keinen Einfluss darauf	I’ve no say in the matter	ichhabekeineneinflussdarauf	27
Ich hatte nie einen Augenblick für mich	I never had a moment to myself	ichhattenieeinenaugenblickfürmich	33
Er hat seine Schuldigkeit getan	He has served his purpose	erhatseineschuldigkeitgetan	27
Sich verrückt machen	Make o.s. crazy	sichverrücktmachen	18
Ein vernichtender Blick	A withering look	einvernichtenderblick	21
Wenn Blicke töten könnten ...	If looks could kill ...	wennblicketötenkönnten	22
Ein Mann von Welt sein	Be a man of the world	einmannvonweltsein	18
Ein Mädchen vom Lande	A country girl	einmädchenvomlande	18
Einer Sache Würze geben	Spice s.th. up	einersachewürzegeben	20
Jmdm. einen schlechten Dienst erweisen	Do a disservice to s.o.	jmdmeinenschlechtendiensterweisen	33
Sich die Finger wundschreiben	Work one’s fingers to the bones	sichdiefingerwundschreiben	26
Am Platze sein	Be called for	amplatzesein	12
Erforderlich sein	Be called for	erforderlichsein	16
Fehl am Platz(e) sein	Be out of place	fehlamplatzesein	16
Sich eine blutige Nase holen	Receive a bloody nose	sicheineblutigenaseholen	24
Wissenslücken	Gaps in knowledge	wissenslücken	13
Es liegt auf der Hand	It’s evident	esliegtaufderhand	17
Höflich, aber bestimmt	Politely but firmly	höflichaberbestimmt	19
Gehen Sie zu egal welcher Konferenz.	Go to any conference.	gehensiezuegalwelcherkonferenz	30
Keine Kosten scheuen	Spare no expense	keinekostenscheuen	18
Mit einem Schlag	At/in one (fell) swoop	miteinemschlag	14
Den Stein ins Rollen bringen	Open the floodgates	densteininsrollenbringen	24
Tür und Tor öffnen	Open the floodgates	türundtoröffnen	15
Ich werde noch mal meinen Kopf vergessen.	I’ll forget my head next.	ichwerdenochmalmeinenkopfvergessen	34
Auf Draht sein	Be up to snuff	aufdrahtsein	12
Fähig sein	Be up to snuff	fähigsein	9
Jubel	Revelry	jubel	5
Trubel	Revelry	trubel	6
Rummel	Revelry	rummel	6
Wirbel	Ballyhoo	wirbel	6
Trara	Ballyhoo	trara	5
Tamtam	Ballyhoo	tamtam	6
Getue	Ballyhoo	getue	5
Es ist mehr als nur das	There is more to it (than that)	esistmehralsnurdas	18
Auf Schritt und Tritt	At every turn	aufschrittundtritt	18
Sich über etwas aufregen	Get excited / worked up over s.th.	sichüberetwasaufregen	21
Ganz allgemein gesagt/gesprochen	Very broadly speaking	ganzallgemeingesagtgesprochen	29
Da mag schon etwas dran sein.	There may/might be something in/to it.	damagschonetwasdransein	23
An seinen Argumenten ist etwas dran	He has something	anseinenargumentenistetwasdran	30
Sein Argument entbehrt nicht einer gewissen Logik	There is some logic to his argument	seinargumententbehrtnichteinergewissenlogik	43
An dem, was du sagst, ist etwas dran	There’s something in what you say	andemwasdusagstistetwasdran	27
Sich die Radieschen von unten ansehen	Push up the daisies	sichdieradieschenvonuntenansehen	32
Er hat einen Komplex	He’s got a chip	erhateinenkomplex	17
Es kommt darauf an	It all depends	eskommtdaraufan	15
Anstandshalber sollte ich hinzufügen	In all fairness I should add	anstandshalbersollteichhinzufügen	33
Es war nur gut so	It was a blessing in disguise	eswarnurgutso	13
Es war Glück im Unglück	It was a blessing in disguise	eswarglückimunglück	19
Die Hosen anhaben	Wear the pants/breeches	diehosenanhaben	15
Streber	Swat	streber	7
Etwas dick auftragen	Lay it on a bit thick	etwasdickauftragen	18
Etwas für gewöhnliche Sterbliche übersetzen	Translate s.th. for lesser mortals	etwasfürgewöhnlichesterblicheübersetzen	39
Kaffee an sich ist nicht schlecht	There is nothing wrong with coffee as such / in itself / per se	kaffeeansichistnichtschlecht	28
Bei näherer Überlegung	On second thoughts	beinähererüberlegung	20
Jmdn. enttäuschen	Let s.o. down	jmdnenttäuschen	15
Aus erster Quelle	Straight from the horse’s mouth	ausersterquelle	15
Ein himmelweiter Unterschied	A hell of a difference	einhimmelweiterunterschied	26
..., sagte er verächtlich	..., he said with a sneer	sagteerverächtlich	18
Der Aufzug ist proppenvoll	The lift is brimful	deraufzugistproppenvoll	23
Lunte riechen	Smell a rat	lunteriechen	12
Sich durchwursteln	Muddle through	sichdurchwursteln	17
Er versuchte einzulenken / zu beschwichtigen	He tried to smooth over	erversuchteeinzulenkenzubeschwichtigen	38
Ganz zu schweigen von ...	Say nothing of ... // let alone ...	ganzzuschweigenvon	18
Um den heißen Brei herumreden	Beat about the bush	umdenheißenbreiherumreden	25
Manchen Leuten ist (eben) nicht zu helfen.	Suffer fools gladly.	manchenleutenistebennichtzuhelfen	33
Mit etwas etepetete sein	Be priggish about s.th.	mitetwasetepetetesein	21
Bei jmdm. vorbeischauen	Call round // pop in	beijmdmvorbeischauen	20
Ich werde mal (bei dir) vorbeischauen.	I’ll be calling round.	ichwerdemalbeidirvorbeischauen	30
Herumtönen	Bleat (about s.th.)	herumtönen	10
Die Wände hochgehen	Climb the wall	diewändehochgehen	17
Lass sie nicht aus den Augen.	Don’t take your eyes off them.	lasssienichtausdenaugen	23
Er hat von Anfang an gewusst, worum es ging.	He’s been in on it since the inception.	erhatvonanfangangewusstworumesging	34
Aus Leibeskräften brüllen	Shout at the top of one’s voice	ausleibeskräftenbrüllen	23
Flatterhafte Person	Flibbertigibbet	flatterhafteperson	18
"""Irrwisch"" derogatory"	Flibbertigibbet	irrwischderogatory	18
Ich habe Ihren Namen nicht verstanden.	I didn’t catch your name.	ichhabeihrennamennichtverstanden	32
Falscher Fuffziger Person	Welsher slang	falscherfuffzigerperson	23
Komm zur Besinnung. Werde vernünftig.	Come to your senses.	kommzurbesinnungwerdevernünftig	31
Die Götter gnädig stimmen	Propitiate the Gods	diegöttergnädigstimmen	22
Abhauen	Scram // bunk off	abhauen	7
Sich dünnemachen	Make o.s. scarce	sichdünnemachen	15
Gut miteinander auskommen	Get along well together	gutmiteinanderauskommen	23
Ihr werdet euch prima verstehen.	You’re going to get along famously.	ihrwerdeteuchprimaverstehen	27
Lasst euch von den Kameras nicht stören.	Don’t be put off by the cameras.	lassteuchvondenkamerasnichtstören	33
Den Fehler seines Lebens begehen	Make the blunder of all blunders	denfehlerseineslebensbegehen	28
Vor Neugier platzen	Burn with curiosity	vorneugierplatzen	17
... geht weg wie warme Semmel.	... is going like hot cakes.	gehtwegwiewarmesemmel	21
Hier wimmelt es von ...	This place is crawling/teeming with ...	hierwimmeltesvon	16
Sich dumm und dämlich reden	Talk one’s head off	sichdummunddämlichreden	23
Es war wie im Irrenhaus	It was bedlam	eswarwieimirrenhaus	19
Jmdm. den Wind aus den Segeln nehmen	Take the wind out of s.o.’s sails	jmdmdenwindausdensegelnnehmen	29
Wein, Weib und Gesang	Wine, women and song	weinweibundgesang	17
Er sagte wie immer nichts.	As ever he said nothing.	ersagtewieimmernichts	21
Ich würde das um nichts in der Welt verpassen	I wouldn’t miss this for the world	ichwürdedasumnichtsinderweltverpassen	37
Er ist ein Beispiel für uns alle	He is an example to us all	eristeinbeispielfürunsalle	26
Ich habe mir nie etwas sagen lassen.	I never would be told.	ichhabemirnieetwassagenlassen	29
Müssen sie einen solchen Lärm machen?	Do they have to make that racket?	müssensieeinensolchenlärmmachen	31
An einer Nacht- und Nebelaktion teilnehmen	Engage in a cloak-and-dagger operation	aneinernachtundnebelaktionteilnehmen	36
Er ist sehr belesen	He is well-read // he reads anything he comes across	eristsehrbelesen	16
Er liest alles, was ihm in die Hände kommt	He is well-read // he reads anything he comes across	erliestalleswasihmindiehändekommt	33
Um jeden Preis	At any cost/price // come what may // come rain or shine // sink or swim // live or die // tooth and nail // neck or nothing	umjedenpreis	12
Komme, was wolle	At any cost/price // come what may // come rain or shine // sink or swim // live or die // tooth and nail // neck or nothing	kommewaswolle	13
U. dgl.	And the like // et cetera // etc. &c. // and suchlike // and so on, and so forth // and what have you // and God knows what	udgl	4
Ob es dir nun gefällt oder nicht, spielt dabei keine Rolle.	Whether you enjoy it or not is neither here nor there.	obesdirnungefälltodernichtspieltdabeikeinerolle	47
Das könnte etwas heikel sein	That might be a bit dicey	daskönnteetwasheikelsein	24
Über Gott und die Welt sprechen	Talk about God and what not	übergottunddieweltsprechen	26
Er ist ein Erfolgstyp.	He is an achiever.	eristeinerfolgstyp	18
Sie ist sehr musikalisch	She is very musical	sieistsehrmusikalisch	21
Er macht nie etwas halb	He never does things by halves	ermachtnieetwashalb	19
Ich arbeite abends	I work evenings	icharbeiteabends	16
Das Bild ist nichts wert. Es muss das echte Gemälde sein.	The painting is a pup. It has to be the real McCoy.	dasbildistnichtswertesmussdasechtegemäldesein	45
In Vergessenheit geraten	Fade into oblivion	invergessenheitgeraten	22
Der Vergessenheit anheimfallen	Fade into oblivion	dervergessenheitanheimfallen	28
Jmdn. vor allen Leuten lächerlich machen	Make s.o. the laughingstock of the place	jmdnvorallenleutenlächerlichmachen	34
Jmdn. der Lächerlichkeit preisgeben	Make s.o. the laughingstock of the place	jmdnderlächerlichkeitpreisgeben	31
Dein Akzent verrät dich.	Your accent betrays you.	deinakzentverrätdich	20
